Family.name,Family,Subfamily,Tribe,Common.name,Scientific.name,Movement,X2024.IUCN.Red.List.category,if_fao,if_new_infect,if_birdlife_breeding,if_birdlife_nonbreeding,X1,X2,X3,X4,X5,X6.1,X7,X8,X9,X10,X11,X12.,if_movebank,if_birdlife_std,low_season,Flyways,Current.population.trend,Family2,Order2,Avibase.ID2,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle
Sulidae,"Gannets, Boobies",,NA,Northern Gannet,Morus bassanus,Pelagic,LC,1,o,TRUE,TRUE,0,0,0,2,1,1,1,1,1,2,0,0,1,1,0,Atlantic Flyway,Increasing,Sulidae,Suliformes,AVIBASE-534FB490,16.59,73.73,49.75,-26.89093038,18270100.05,Extant,6,2,3,1,4,98.7,98,24.8,32,60,485.8,300.5,183.5,62.1,206.2,2998.7,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aerial
Sulidae,"Gannets, Boobies",,NA,Cape Gannet,Morus capensis,Pelagic,EN,1,o,TRUE,TRUE,1,1,1,2,0,0,0,0,2,1,1,1,0,1,0,,NA,Sulidae,Suliformes,AVIBASE-775E93D7,-33.84,-25.72,-28.73,17.0996646,2.93,Extant,4,2,2,0,4,91,91,23,29.1,59.4,449.8,269,180.8,59.8,173,2643.4,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aerial
Sulidae,"Gannets, Boobies",,NA,Australasian Gannet,Morus serrator,Pelagic,LC,0,NA,TRUE,TRUE,1,1,1,1,2,0,0,0,0,2,1,1,0,0,0,,NA,Sulidae,Suliformes,AVIBASE-13610344,-46.68,-23.48,-39.73,152.625948,10238.62,Extant,6,1,2,3,4,88.3,87,22.6,29.4,54.1,461,279.5,174.2,61.6,200.5,2350,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aerial
Sulidae,"Gannets, Boobies",,NA,Red-footed Booby,Sula sula,Pelagic,LC,1,n,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,,NA,Sulidae,Suliformes,AVIBASE-0A4609D1,-29.43,29.12,-1.92,-3.711563715,122459893.2,Extant,5,2,3,0,4,79.3,79,21.5,25.9,35.2,366.8,229.2,140.8,62,193.8,1031.1,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aerial
Sulidae,"Gannets, Boobies",,NA,Brown Booby,Sula leucogaster,Pelagic,LC,1,n,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,,NA,Sulidae,Suliformes,AVIBASE-5EC21767,-30.4,34.99,-0.85,-32.92250944,26818777.48,Extant,5,1,2,2,4,100.9,86.9,20.5,30.1,35.7,388.6,232,159,59.3,204.4,1288.8,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aerial
Sulidae,"Gannets, Boobies",,NA,Blue-footed Booby,Sula nebouxii,Pelagic,LC,1,n,TRUE,TRUE,0,0,0,0,0,2,1,1,1,1,2,0,0,1,0,,NA,Sulidae,Suliformes,AVIBASE-649F85B5,-22.4,32.29,8.32,-92.13427518,4287194.46,Extant,5,2,3,0,4,99.8,99,26.1,29.9,51.6,410.4,236,174,57.5,212.2,1520.1,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aerial
Sulidae,"Gannets, Boobies",,NA,Peruvian Booby,Sula variegata,Pelagic,LC,1,n,TRUE,TRUE,1,2,0,0,0,0,0,0,2,1,1,1,0,1,0,,NA,Sulidae,Suliformes,AVIBASE-AD43BCD9,-37.75,-3.99,-19.82,-74.53657079,229733.56,Extant,5,2,3,0,4,88.9,88.8,23.1,29.5,48.4,370.4,204,169,54.6,161.4,1432.5,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aerial
Sulidae,"Gannets, Boobies",,NA,Masked Booby,Sula dactylatra,Pelagic,LC,0,NA,TRUE,TRUE,2,1,1,1,1,1,1,1,1,1,2,0,0,1,0,,NA,Sulidae,Suliformes,AVIBASE-22D1B4A2,-36.61,31.54,-1.77,-9.460177399,130196617.9,Extant,4,2,2,0,4,96,96,26.2,34.2,54,412.2,257.2,155,62.4,171.2,1732.1,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aerial
Sulidae,"Gannets, Boobies",,NA,Nazca Booby,Sula granti,Pelagic,LC,0,NA,TRUE,TRUE,1,1,1,1,1,2,0,0,0,2,1,1,0,1,0,,NA,Sulidae,Suliformes,AVIBASE-0C4DB4A5,-7.53,19.45,7.26,-89.04570613,1390871.94,Extant,4,1,1,2,3,102,91.6,24.9,34.5,55.5,416.8,235.3,182.3,56.4,182.5,1732.1,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aerial
Phalacrocoracidae,Cormorants,,NA,Crowned Cormorant,Microcarbo coronatus,Coastal,LC,1,o,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,,NA,Phalacrocoracidae,Suliformes,AVIBASE-446E8F9D,NA,NA,NA,NA,NA,NA,5,2,3,0,4,34.6,26.9,6.9,10.2,39.1,205.8,69.8,134,34.2,138.4,762.2,Dunning,NA,NO,NA,NA,Marine,3,2,Carnivore,Aquatic predator,Aquatic
Phalacrocoracidae,Cormorants,,NA,Long-tailed Cormorant,Microcarbo africanus,Coastal,LC,0,NA,TRUE,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,,NA,Phalacrocoracidae,Suliformes,AVIBASE-E255DCE1,NA,NA,NA,NA,NA,NA,5,3,2,0,4,36.5,27.5,7.3,10.3,34.8,198.8,74.5,121.8,37.9,142.6,545,Dunning,NA,NO,NA,NA,Wetland,3,1,Carnivore,Aquatic predator,Aquatic
