Event.ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation.date,report.date,Species,Diagnosis.Source,Humans.Affected,Human.Deaths,Diagnosis.Status,Scientific_Names
396537,Influenza - Avian,;H5N1 HPAI;,47.6717,9.0897,147333ERMATINGEN,Switzerland,Europe,2025-01-01T00:00:00Z,2025-01-17T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
397234,Influenza - Avian,;H5N1 HPAI;,53.04,4.74,147778 TEXEL,Netherlands (Kingdom of the),Europe,2025-01-03T00:00:00Z,2025-01-24T00:00:00Z,"Wild,Northern fulmar (Fulmarus glacialis),",WOAH (former OIE),NA,NA,Confirmed,Fulmarus glacialis
397209,Influenza - Avian,;H5N1 HPAI;,52.91,4.96,147779 WIERINGEN,Netherlands (Kingdom of the),Europe,2025-01-03T00:00:00Z,2025-01-24T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
397208,Influenza - Avian,;H5N1 HPAI;,52.87,4.74,147780 TEXEL,Netherlands (Kingdom of the),Europe,2025-01-04T00:00:00Z,2025-01-24T00:00:00Z,"Wild,Northern fulmar (Fulmarus glacialis),",WOAH (former OIE),NA,NA,Confirmed,Fulmarus glacialis
396554,Influenza - Avian,;H5N1 HPAI;,54.7,8.78,147299DAGEBÃœLL,Germany,Europe,2025-01-06T00:00:00Z,2025-01-17T00:00:00Z,"Wild,Anatidae (incognita),Wild,Northern fulmar (Fulmarus glacialis),",WOAH (former OIE),NA,NA,Confirmed,Fulmarus glacialis
394972,Influenza - Avian,;H5N1 HPAI;,46.670604,-1.426709,147003 LA ROCHE-SUR-YON (85191),France,Europe,2025-01-06T00:00:00Z,2025-01-13T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
396538,Influenza - Avian,;H5N1 HPAI;,47.6355,9.2313,147336MÃœNSTERLINGEN,Switzerland,Europe,2025-01-07T00:00:00Z,2025-01-17T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
396764,Influenza - Avian,;H5N1 HPAI;,53.336904,6.513794,147477WINSUM,Netherlands (Kingdom of the),Europe,2025-01-09T00:00:00Z,2025-01-20T00:00:00Z,"Wild,Lesser Black-backed Gull:Larus fuscus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus fuscus
397919,Influenza - Avian,;H5N1 HPAI;,45.477914,12.254604,148043VENEZIA,Italy,Europe,2025-01-10T00:00:00Z,2025-01-29T00:00:00Z,"Wild,Yellow-legged gull (Larus michahellis),",WOAH (former OIE),NA,NA,Confirmed,Larus michahellis
396771,Influenza - Avian,;H5N1 HPAI;,53.33159,5.75274,147470FERWERDERADIEL,Netherlands (Kingdom of the),Europe,2025-01-13T00:00:00Z,2025-01-20T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Larus argentatus
